ortho	lemme	cgram	freq	is_lem
acétazolamide	acétazolamide	NOM	2.0	1
Achille	Achille	NOM_PROPRE	1.0	1
Adidas	Adidas	NOM_PROPRE	1.0	1
ADN	ADN	ACRONYME	1.0	1
afternoon	afternoon	ETRANGER	1.0	1
ago	ago	ETRANGER	1.0	1
aguet	aguet	NOM	1.0	1
aguets	aguet	NOM	1.0	0
ahem	ahem	ONO	1.0	1
airport	airport	ETRANGER	1.0	1
AirTrain	AirTrain	NOM_PROPRE	1.0	1
Akira Kurosawa	Akira Kurosawa	NOM_PROPRE	1.0	1
AL	Alabama	NOM_PROPRE	3.0	0
Alabama	Alabama	NOM_PROPRE	22.0	1
Alabama Roadwalk	Alabama Roadwalk	NOM_PROPRE	3.0	1
all	all	ETRANGER	8.0	1
Allemannsretten	Allemannsretten	ETRANGER	1.0	1
almost	almost	ETRANGER	1.0	1
alright	alright	ETRANGER	1.0	1
also	also	ETRANGER	1.0	1
am	am	ETRANGER	3.0	1
Amazonie	Amazonie	NOM_PROPRE	1.0	1
américanisée	américaniser	VER	1.0	0
américanisées	américaniser	VER	0.14	0
Americans	Americans	ETRANGER	1.0	1
améridien	améridien	ADJ	1.0	1
améridienne	améridien	ADJ	1.0	0
améridiennes	améridien	ADJ	1.0	0
améridiens	améridien	ADJ	1.0	0
Amicalola	Amicalola	NOM_PROPRE	1.0	1
amortissante	amortir	VER	4.93	0
amortissantes	amortir	VER	1.0	0
amortissants	amortir	VER	4.93	0
and	and	ETRANGER	7.0	1
Andalusia	Andalusia	NOM_PROPRE	3.0	1
Andréanne	Andréanne	NOM_PROPRE	1.0	1
angel	angel	ETRANGER	2.0	1
angels	angel	ETRANGER	3.0	0
anglo	anglophone	ADJ	1.0	0
Ann	Ann	NOM_PROPRE	1.0	1
Ann Trason	Ann Trason	NOM_PROPRE	1.0	1
Anne	Anne	NOM_PROPRE	124.0	1
another	another	ETRANGER	1.0	1
Antoine	Antoine	NOM_PROPRE	3.0	1
anxiogène	anxiogène	ADJ	2.0	1
any	any	ETRANGER	1.0	1
Apalachicola	Apalachicola	NOM_PROPRE	7.0	1
Appalaches	Appalaches	NOM_PROPRE	40.0	1
Appalachian Trail	Appalachian Trail	NOM_PROPRE	5.0	1
Appalachians	Appalaches	NOM_PROPRE	1.0	0
appalachien	appalachien	ADJ	1.0	1
appalachienne	appalachien	ADJ	2.0	0
appalachiennes	appalachien	ADJ	1.0	0
appalachiens	appalachien	ADJ	1.0	0
arctic	arctic	ETRANGER	1.0	1
Arizona	Arizona	NOM_PROPRE	1.0	1
armadillos	armadillos	ETRANGER	1.0	1
Arnulfo	Arnulfo	NOM_PROPRE	1.0	1
Around the Bend	Around the Bend	NOM_PROPRE	3.0	1
Arpin	Dominic Arpin	NOM_PROPRE	1.0	0
Asheville	Asheville	NOM_PROPRE	2.0	1
Asia	Asia	NOM_PROPRE	1.0	1
ask	ask	ETRANGER	1.0	1
ass	ass	ETRANGER	2.0	1
Atlanta	Atlanta	NOM_PROPRE	5.0	1
Aurélie	Aurélie	NOM_PROPRE	2.0	1
Australie	Australie	NOM_PROPRE	1.0	1
Av	avenue	ETRANGER	3.0	1
awesome	awesome	ETRANGER	2.0	1
bad	bad	ETRANGER	1.0	1
bag	bag	ETRANGER	1.0	1
bankable	bankable	ETRANGER	1.0	1
baptiserons	baptiser	VER	1.0	0
Barefoot Ted	Ted McDonald	NOM_PROPRE	1.0	0
barista	barista	NOM	1.0	1
Barrancas	Barrancas del Cobre	NOM_PROPRE	2.0	0
Barrancas del Cobre	Barrancas del Cobre	NOM_PROPRE	5.0	1
Batman	Batman	NOM_PROPRE	1.0	1
Baxter	Baxter	NOM_PROPRE	1.0	1
be	be	ETRANGER	11.0	1
bear	bear	ETRANGER	6.0	1
beast	beast	ETRANGER	1.0	1
beastie	beastie	ETRANGER	1.0	1
Beastie Boy	Beastie Boy	NOM_PROPRE	2.0	1
Beastie Runs	Beastie Runs	NOM_PROPRE	1.0	1
bed	bed	ETRANGER	1.0	1
beds	bed	ETRANGER	1.0	0
before	before	ETRANGER	1.0	1
beginning	beginning	ETRANGER	1.0	1
bein	bein	ONO	1.0	1
Bend	Bend	NOM_PROPRE	3.0	1
Benton MacKaye	Benton MacKaye	NOM_PROPRE	6.0	1
Bianca	Bianca	NOM_PROPRE	1.0	1
Big Cypress	Big Cypress	NOM_PROPRE	3.0	1
bigorexie	bigorexie	NOM	1.0	1
Bill Bryson	Bill Bryson	NOM_PROPRE	4.0	1
bipédie	bipédie	NOM	1.0	1
Bismarck	Bismarck	NOM_PROPRE	4.0	1
Black Hawk	Black Hawk	NOM_PROPRE	4.0	1
