ortho	Lexique3__lemme	Lexique3__cgram	Lexique3__freqlemlivres	Lexique3__islem
a	avoir	AUX	12800.81	0
a	a	NOM	58.65	1
a	avoir	VER	6426.49	0
a capella	a capella	ADV	0.07	1
a cappella	a cappella	ADV	0.07	1
a contrario	a contrario	ADV	0.27	1
a fortiori	a fortiori	ADV	0.88	1
a giorno	a giorno	ADV	0.27	1
a jeun	à jeun	ADV	3.85	0
a l'instar	a l'instar	PRE	0.0	1
a posteriori	a posteriori	ADV	0.2	1
a priori	a priori	NOM	0.47	1
a priori	a priori	ADV	3.85	1
aa	aa	NOM	0.0	1
ab absurdo	ab absurdo	ADV	0.07	1
ab initio	ab initio	ADV	0.07	1
ab ovo	ab ovo	ADV	0.27	1
abaca	abaca	NOM	0.0	1
abaissa	abaisser	VER	18.04	0
abaissai	abaisser	VER	18.04	0
abaissaient	abaisser	VER	18.04	0
abaissait	abaisser	VER	18.04	0
abaissant	abaisser	VER	18.04	0
abaissant	abaissant	ADJ	0.27	1
abaissante	abaissant	ADJ	0.27	0
abaisse	abaisser	VER	18.04	0
abaisse	abaisse	NOM	0.0	1
abaisse-langue	abaisse-langue	NOM	0.14	1
abaissement	abaissement	NOM	2.16	1
abaissent	abaisser	VER	18.04	0
abaisser	abaisser	VER	18.04	1
abaissera	abaisser	VER	18.04	0
abaisserai	abaisser	VER	18.04	0
abaisseraient	abaisser	VER	18.04	0
abaisserais	abaisser	VER	18.04	0
abaisserait	abaisser	VER	18.04	0
abaisses	abaisser	VER	18.04	0
abaissez	abaisser	VER	18.04	0
abaissons	abaisser	VER	18.04	0
abaissèrent	abaisser	VER	18.04	0
abaissé	abaissé	ADJ	0.74	1
abaissé	abaisser	VER	18.04	0
abaissée	abaisser	VER	18.04	0
abaissée	abaissé	ADJ	0.74	0
abaissées	abaisser	VER	18.04	0
abaissées	abaissé	ADJ	0.74	0
abaissés	abaissé	ADJ	0.74	0
abaissés	abaisser	VER	18.04	0
abalone	abalone	NOM	0.07	1
abalones	abalone	NOM	0.07	0
abandon	abandon	NOM	27.36	1
abandonna	abandonner	VER	128.45	0
abandonnai	abandonner	VER	128.45	0
abandonnaient	abandonner	VER	128.45	0
abandonnais	abandonner	VER	128.45	0
abandonnait	abandonner	VER	128.45	0
abandonnant	abandonner	VER	128.45	0
abandonnas	abandonner	VER	128.45	0
abandonne	abandonner	VER	128.45	0
abandonnent	abandonner	VER	128.45	0
abandonner	abandonner	VER	128.45	1
abandonnera	abandonner	VER	128.45	0
abandonnerai	abandonner	VER	128.45	0
abandonneraient	abandonner	VER	128.45	0
abandonnerais	abandonner	VER	128.45	0
abandonnerait	abandonner	VER	128.45	0
abandonneras	abandonner	VER	128.45	0
abandonnerez	abandonner	VER	128.45	0
abandonneriez	abandonner	VER	128.45	0
abandonnerions	abandonner	VER	128.45	0
abandonnerons	abandonner	VER	128.45	0
abandonneront	abandonner	VER	128.45	0
abandonnes	abandonner	VER	128.45	0
abandonneurs	abandonneur	NOM	0.07	0
abandonnez	abandonner	VER	128.45	0
abandonniez	abandonner	VER	128.45	0
abandonnions	abandonner	VER	128.45	0
abandonnique	abandonnique	ADJ	0.07	1
abandonnons	abandonner	VER	128.45	0
abandonnâmes	abandonner	VER	128.45	0
abandonnât	abandonner	VER	128.45	0
abandonnèrent	abandonner	VER	128.45	0
abandonné	abandonner	VER	128.45	0
abandonné	abandonné	ADJ	24.39	1
